"customer_key","customer_number","customer_name","customer_age","customer_type","active_months","total_sales","total_quantity","last_order","days_since_last_order","average_order_value","average_monthly_spend"
30,AW00011029,Jimmy Moreno,73,VIP,34,6565,7,2013-11-11,29,2188.33,193.09
31,AW00011030,Bethany Yuan,67,VIP,34,6471,4,2013-11-09,1,2157.00,190.32
32,AW00011031,Theresa Ramos,72,VIP,34,6478,6,2013-11-13,27,2159.33,190.53
33,AW00011032,Denise Stone,73,VIP,33,6525,10,2013-11-08,2,2175.00,197.73
34,AW00011033,Jaime Nath,67,VIP,33,6495,7,2013-11-05,5,2165.00,196.82
35,AW00011034,Ebony Gonzalez,73,VIP,34,6491,4,2013-11-10,0,2163.67,190.91
36,AW00011035,Wendy Dominguez,72,VIP,34,6451,5,2013-11-15,25,2150.33,189.74
37,AW00011036,Jennifer Russell,41,NEW,1,2355,2,2013-01-22,19,2355.00,2355.00
38,AW00011037,Chloe Garcia,42,NEW,1,2374,7,2013-01-20,21,2374.00,2374.00
39,AW00011038,Diana Hernandez,72,VIP,34,6437,3,2013-11-12,28,2145.67,189.32
40,AW00011039,Marc Martin,71,VIP,34,6636,9,2013-11-11,29,2212.00,195.18
41,AW00011040,Jesse Murphy,42,NEW,1,2351,3,2013-04-03,7,2351.00,2351.00
42,AW00011041,Amanda Carter,42,NEW,1,2381,3,2013-01-14,27,2381.00,2381.00
43,AW00011042,Megan Sanchez,43,REGULAR,9,3112,3,2013-10-17,24,1556.00,345.78
44,AW00011043,Nathan Simmons,44,NEW,4,48,3,2013-08-18,23,24.00,12.00
45,AW00011044,Adam Flores,71,VIP,33,6515,7,2013-11-08,2,2171.67,197.42
46,AW00011045,Leonard Nara,70,REGULAR,7,115,4,2013-10-29,12,57.50,16.43
47,AW00011046,Christine Yuan,70,VIP,34,6616,6,2013-11-12,28,2205.33,194.59
48,AW00011047,Jaclyn Lu,70,VIP,34,6582,4,2013-11-19,21,2194.00,193.59
49,AW00011048,Jeremy Powell,69,VIP,35,6498,8,2013-12-25,16,2166.00,185.66
50,AW00011049,Carol Rai,39,REGULAR,8,81,5,2013-10-29,12,40.50,10.13
51,AW00011050,Alan Zheng,68,VIP,33,5007,6,2013-11-19,21,1669.00,151.73
52,AW00011051,Daniel Johnson,68,NEW,1,124,5,2014-01-01,9,62.00,124.00
53,AW00011052,Heidi Lopez,68,VIP,28,8131,7,2013-05-27,14,2710.33,290.39
54,AW00011053,Ana Price,39,NEW,1,2330,2,2013-01-17,24,2330.00,2330.00
55,AW00011054,Deanna Munoz,68,VIP,28,8223,6,2013-05-30,11,2741.00,293.68
56,AW00011055,Gilbert Raje,68,VIP,29,8168,8,2013-06-07,3,2722.67,281.66
57,AW00011056,Michele Nath,67,VIP,28,8207,8,2013-05-31,10,2735.67,293.11
58,AW00011057,Carl Andersen,55,VIP,27,8088,4,2013-05-21,20,2696.00,299.56
59,AW00011058,Marc Diaz,60,VIP,27,8248,6,2013-06-04,6,2749.33,305.48
60,AW00011059,Ashlee Andersen,66,NEW,1,117,7,2013-03-16,25,39.00,117.00
61,AW00011060,Jon Zhou,66,VIP,28,8153,6,2013-06-25,15,2717.67,291.18
62,AW00011061,Todd Gao,49,VIP,28,8129,6,2013-06-14,26,2709.67,290.32
63,AW00011062,Noah Powell,44,NEW,1,2352,3,2013-01-07,3,2352.00,2352.00
64,AW00011063,Angela Murphy,45,NEW,1,2373,5,2013-01-12,29,2373.00,2373.00
65,AW00011064,Chase Reed,44,NEW,1,2305,2,2013-01-25,16,2305.00,2305.00
66,AW00011065,Jessica Henderson,46,REGULAR,12,202,5,2014-01-10,0,101.00,16.83
67,AW00011066,Grace Butler,46,NEW,4,81,5,2013-09-19,21,40.50,20.25
68,AW00011067,Caleb Carter,43,NEW,5,105,6,2014-01-12,29,52.50,21.00
69,AW00011068,Tiffany Liang,59,REGULAR,6,113,9,2013-10-08,2,37.67,18.83
70,AW00011069,Carolyn Navarro,59,VIP,26,8104,3,2013-06-04,6,2701.33,311.69
71,AW00011070,Willie Raji,65,VIP,26,8165,10,2013-06-26,14,2721.67,314.04
72,AW00011071,Linda Serrano,65,REGULAR,10,110,7,2013-12-01,9,36.67,11.00
73,AW00011072,Casey Luo,65,VIP,27,8194,7,2013-06-15,25,2731.33,303.48
74,AW00011073,Amy Ye,63,NEW,5,192,10,2013-08-21,20,64.00,38.40
75,AW00011074,Levi Arun,63,NEW,3,94,7,2013-05-27,14,31.33,31.33
76,AW00011075,Felicia Jimenez,62,VIP,26,8068,5,2013-06-24,16,2689.33,310.31
77,AW00011076,Blake Anderson,63,VIP,27,8159,4,2013-06-21,19,2719.67,302.19
78,AW00011077,Leah Ye,62,VIP,26,8169,5,2013-06-12,28,2723.00,314.19
79,AW00011078,Gina Martin,41,REGULAR,12,912,31,2014-01-28,13,53.65,76.00
80,AW00011079,Donald Gonzalez,55,REGULAR,10,58,5,2014-01-01,9,19.33,5.80
81,AW00011080,Damien Chander,60,VIP,27,8204,7,2013-06-23,17,2734.67,303.85
82,AW00011081,Savannah Baker,53,NEW,3,104,5,2013-04-13,27,52.00,34.67
83,AW00011082,Angela Butler,53,REGULAR,10,3110,6,2013-11-06,4,1555.00,311.00
84,AW00011083,Alyssa Cox,48,REGULAR,11,3137,5,2013-11-08,2,1568.50,285.18
85,AW00011084,Lucas Phillips,62,REGULAR,11,3078,5,2013-11-21,19,1539.00,279.82
86,AW00011085,Emily Johnson,62,NEW,2,129,5,2014-01-08,2,64.50,64.50
87,AW00011086,Ryan Brown,62,REGULAR,6,153,6,2013-12-21,20,76.50,25.50
88,AW00011087,Tamara Liang,62,REGULAR,6,200,4,2013-08-09,1,100.00,33.33
89,AW00011088,Hunter Davis,62,REGULAR,10,3176,7,2013-11-12,28,1588.00,317.60
90,AW00011089,Abigail Price,63,REGULAR,11,3188,7,2013-11-18,22,1594.00,289.82
91,AW00011090,Trevor Bryant,57,VIP,28,6703,6,2013-11-21,19,2234.33,239.39
92,AW00011091,Dalton Perez,63,REGULAR,12,1186,59,2014-01-08,2,42.36,98.83
93,AW00011092,Cheryl Diaz,53,VIP,27,8110,5,2013-06-21,19,2703.33,300.37
94,AW00011093,Aimee He,47,VIP,27,8180,7,2013-06-08,2,2726.67,302.96
95,AW00011094,Cedric Ma,58,REGULAR,10,236,8,2014-01-11,30,78.67,23.60
96,AW00011095,Chad Kumar,57,VIP,27,8158,7,2013-06-25,15,2719.33,302.15
97,AW00011096,Andr├®s Anand,57,VIP,28,8063,4,2013-07-30,11,2687.67,287.96
98,AW00011097,Edwin Nara,53,VIP,28,8099,5,2013-07-24,17,2699.67,289.25
99,AW00011098,Mallory Rubio,59,REGULAR,9,89,4,2013-10-16,25,29.67,9.89
100,AW00011099,Adam Ross,59,VIP,27,8216,9,2013-07-01,9,2738.67,304.30
101,AW00011100,Latasha Navarro,59,VIP,28,8172,7,2013-08-07,3,2724.00,291.86
102,AW00011101,Abby Sai,55,VIP,27,8262,7,2013-06-29,11,2754.00,306.00
103,AW00011102,Julia Nelson,55,NEW,5,103,5,2013-12-09,1,34.33,20.60
104,AW00011103,Cassie Chande,44,VIP,26,8182,8,2013-06-06,4,2727.33,314.69
105,AW00011104,Edgar Sara,50,VIP,26,8173,6,2013-06-15,25,2724.33,314.35
106,AW00011105,Candace Fernandez,55,VIP,25,8096,5,2013-06-05,5,2698.67,323.84
107,AW00011106,Jessie Liu,55,VIP,25,8079,3,2013-06-15,25,2693.00,323.16
108,AW00011107,Bianca Lin,49,VIP,26,8171,6,2013-06-21,19,2723.67,314.27
109,AW00011108,Kari Alvarez,57,VIP,26,8124,5,2013-06-23,17,2708.00,312.46
110,AW00011109,Ruben Kapoor,45,VIP,26,8245,8,2013-06-24,16,2748.33,317.12
111,AW00011110,Curtis Yang,58,VIP,28,8093,5,2013-08-20,21,2697.67,289.04
112,AW00011111,Meredith Gutierrez,58,VIP,28,8137,8,2013-08-22,19,2712.33,290.61
113,AW00011112,Crystal Wang,57,VIP,28,8295,6,2013-09-02,8,2765.00,296.25
114,AW00011113,Micheal Blanco,52,NEW,3,110,7,2013-04-21,19,36.67,36.67
115,AW00011114,Leslie Moreno,58,REGULAR,10,123,7,2013-12-26,15,41.00,12.30
116,AW00011115,Alvin Cai,58,REGULAR,11,114,6,2014-01-02,8,38.00,10.36
117,AW00011116,Clinton Carlson,46,REGULAR,8,149,7,2013-10-16,25,49.67,18.63
118,AW00011117,April Deng,59,VIP,26,8185,8,2013-06-25,15,2728.33,314.81
119,AW00011118,Alvin Zeng,63,REGULAR,7,124,8,2014-01-26,15,41.33,17.71
120,AW00011119,Evan James,85,REGULAR,10,85,4,2013-11-23,17,42.50,8.50
121,AW00011120,Beth Jim├®nez,83,VIP,29,8242,10,2013-09-19,21,2747.33,284.21
122,AW00011121,Orlando Suarez,59,NEW,5,58,6,2013-11-04,6,19.33,11.60
123,AW00011122,Byron Vazquez,60,REGULAR,7,43,3,2013-08-22,19,14.33,6.14
124,AW00011123,Philip Alvarez,60,REGULAR,10,150,8,2014-01-25,16,50.00,15.00
125,AW00011124,Ross Jordan,57,VIP,26,8129,6,2013-06-18,22,2709.67,312.65
126,AW00011125,Dana Navarro,64,REGULAR,6,79,7,2013-07-03,7,26.33,13.17
127,AW00011126,Shaun Carson,71,VIP,30,4971,8,2013-11-03,7,1657.00,165.70
128,AW00011127,Jan Edwards,44,REGULAR,6,44,3,2013-10-01,9,22.00,7.33
129,AW00011128,Samantha Long,44,NEW,2,144,7,2013-08-12,29,72.00,72.00
130,AW00011129,Julia Wright,44,VIP,18,5873,2,2013-01-09,1,2936.50,326.28
131,AW00011130,Caroline Russell,40,NEW,1,37,2,2013-12-09,1,37.00,37.00
132,AW00011131,Amanda Rivera,40,NEW,4,166,9,2014-01-23,18,33.20,41.50
133,AW00011132,Melissa Richardson,39,NEW,1,2372,6,2013-04-09,1,2372.00,2372.00
134,AW00011133,Angela Griffin,39,NEW,1,72,4,2013-12-30,11,72.00,72.00
135,AW00011134,Larry Townsend,68,VIP,31,4911,3,2013-11-03,7,1637.00,158.42
136,AW00011135,Marcus Harris,40,NEW,1,2335,3,2013-04-18,22,2335.00,2335.00
137,AW00011136,Brianna Morgan,41,NEW,1,2381,3,2013-01-03,7,2381.00,2381.00
138,AW00011137,Jasmine Taylor,41,REGULAR,6,202,5,2014-01-20,21,101.00,33.67
139,AW00011138,Lauren Davis,41,NEW,4,79,4,2013-12-31,10,39.50,19.75
140,AW00011139,Tanya Moreno,76,NEW,2,84,3,2013-10-17,24,42.00,42.00
141,AW00011140,Javier Alvarez,43,NEW,1,40,2,2013-03-19,22,40.00,40.00
142,AW00011141,Nicole Ramirez,43,NEW,5,114,5,2013-09-28,12,57.00,22.80
143,AW00011142,Eduardo Patterson,42,REGULAR,12,979,36,2014-01-13,28,57.59,81.58
144,AW00011143,Jonathan Henderson,43,REGULAR,7,48,5,2013-12-19,22,24.00,6.86
145,AW00011144,Edward Hernandez,40,NEW,1,2400,3,2013-01-25,16,2400.00,2400.00
146,AW00011145,Jasmine Coleman,40,NEW,1,2310,3,2013-01-25,16,2310.00,2310.00
147,AW00011146,Karla Goel,80,REGULAR,8,113,7,2013-09-15,25,37.67,14.13
148,AW00011147,Ernest Wu,81,VIP,30,8195,7,2013-10-16,25,2731.67,273.17
149,AW00011148,Ross Vazquez,78,REGULAR,9,126,6,2013-12-03,7,42.00,14.00
150,AW00011149,Theodore Gill,79,REGULAR,6,41,4,2013-11-29,11,13.67,6.83
151,AW00011150,Russell Shen,79,NEW,4,192,8,2013-07-15,26,64.00,48.00
152,AW00011151,Melinda Gill,78,VIP,30,8087,6,2013-10-20,21,2695.67,269.57
153,AW00011152,James Williams,44,NEW,1,2295,1,2013-01-09,1,2295.00,2295.00
154,AW00011153,Angela James,44,NEW,1,110,5,2013-03-29,12,55.00,110.00
155,AW00011154,Megan Walker,43,NEW,1,2320,1,2013-01-10,0,2320.00,2320.00
156,AW00011155,Hunter Robinson,44,NEW,1,2320,1,2013-01-06,4,2320.00,2320.00
157,AW00011156,Maria Roberts,44,NEW,1,2390,4,2013-01-08,2,2390.00,2390.00
158,AW00011157,Hannah Long,45,NEW,2,41,3,2013-09-11,29,20.50,20.50
159,AW00011158,Jason Wright,44,NEW,1,2396,3,2013-01-19,22,2396.00,2396.00
160,AW00011159,Brianna Hughes,44,NEW,2,48,5,2013-11-07,3,24.00,24.00
161,AW00011160,Maurice Tang,46,NEW,1,2322,2,2013-02-21,17,2322.00,2322.00
162,AW00011161,Emily Wood,46,REGULAR,6,94,6,2013-11-11,29,47.00,15.67
163,AW00011162,Chase Cox,46,NEW,1,2330,2,2013-02-18,20,2330.00,2330.00
164,AW00011163,Gabriel Wang,45,NEW,4,46,4,2013-08-05,5,23.00,11.50
165,AW00011164,Devin Brooks,46,NEW,4,145,6,2013-08-05,5,72.50,36.25
166,AW00011165,Jocelyn Alexander,46,NEW,1,103,3,2013-06-05,5,51.50,103.00
167,AW00011166,Ashley Martinez,48,NEW,2,88,5,2013-12-06,4,44.00,44.00
168,AW00011167,Jasmine Barnes,47,REGULAR,11,3126,4,2013-11-28,12,1563.00,284.18
169,AW00011168,David Rodriguez,52,REGULAR,11,3136,7,2013-11-16,24,1568.00,285.09
170,AW00011169,Bryce Richardson,52,NEW,4,81,5,2013-09-24,16,40.50,20.25
171,AW00011170,Carol Howard,52,NEW,5,157,7,2013-12-29,12,78.50,31.40
172,AW00011171,Jonathan Hill,47,VIP,27,6716,8,2013-11-07,3,2238.67,248.74
173,AW00011172,Gabrielle Adams,52,REGULAR,9,129,7,2014-01-11,30,64.50,14.33
174,AW00011173,Sarah Thomas,52,REGULAR,10,103,3,2013-12-24,17,51.50,10.30
175,AW00011174,Nicholas Robinson,53,NEW,1,48,5,2013-07-25,16,24.00,48.00
176,AW00011175,Luis Wang,57,VIP,27,6710,8,2013-11-03,7,2236.67,248.52
177,AW00011176,Mason Roberts,46,REGULAR,12,1317,60,2014-01-27,14,47.04,109.75
178,AW00011177,Jose Flores,78,REGULAR,7,135,6,2013-10-14,27,67.50,19.29
179,AW00011178,Nathan Johnson,71,NEW,4,145,6,2013-05-26,15,72.50,36.25
180,AW00011179,Molly Rodriguez,66,REGULAR,10,125,6,2014-01-09,1,62.50,12.50
181,AW00011180,April Anand,77,REGULAR,7,138,6,2013-09-25,15,69.00,19.71
182,AW00011181,Devin Martin,65,NEW,3,41,3,2013-07-11,30,20.50,13.67
183,AW00011182,Stephanie Torres,75,NEW,5,81,5,2014-01-05,5,40.50,16.20
184,AW00011183,Jasmine Lee,75,NEW,2,46,4,2013-06-13,27,23.00,23.00
185,AW00011184,Meghan Hernandez,70,NEW,2,68,5,2013-10-09,1,34.00,34.00
186,AW00011185,Ashley Henderson,75,REGULAR,12,1616,68,2014-01-26,15,59.85,134.67
187,AW00011186,Sarah Price,76,NEW,3,41,3,2014-01-07,3,20.50,13.67
188,AW00011187,Jennifer Cooper,76,NEW,5,108,4,2013-08-06,4,54.00,21.60
189,AW00011188,Catherine Morris,75,NEW,3,81,5,2014-01-21,20,40.50,27.00
190,AW00011189,Lawrence Blanco,75,VIP,18,5944,6,2013-02-05,5,2972.00,330.22
191,AW00011190,Carson Bryant,76,NEW,5,46,4,2014-01-16,25,23.00,9.20
192,AW00011191,Kristi Perez,74,VIP,27,6743,7,2013-11-06,4,2247.67,249.74
193,AW00011192,James Brown,74,NEW,4,114,5,2013-09-25,15,57.00,28.50
194,AW00011193,Ian Gray,75,REGULAR,6,41,3,2013-08-18,23,20.50,6.83
195,AW00011194,Jacqueline Price,75,REGULAR,9,105,6,2013-12-08,2,52.50,11.67
196,AW00011195,Megan Henderson,74,REGULAR,7,105,6,2013-10-22,19,52.50,15.00
197,AW00011196,Alfredo Romero,74,REGULAR,7,162,4,2013-09-24,16,81.00,23.14
198,AW00011197,Andrea Morris,74,NEW,3,207,6,2013-07-20,21,103.50,69.00
199,AW00011198,Brooke Sanders,73,NEW,1,98,4,2013-02-13,25,49.00,98.00
200,AW00011199,Jacqueline Bennett,68,REGULAR,7,132,6,2013-10-17,24,66.00,18.86
201,AW00011200,Jason Griffin,72,REGULAR,12,1461,55,2014-01-20,21,54.11,121.75
202,AW00011201,Amanda Foster,72,NEW,3,181,6,2013-09-09,1,90.50,60.33
203,AW00011202,Alexia Price,67,NEW,1,74,3,2013-09-21,19,37.00,74.00
204,AW00011203,Luis Diaz,66,REGULAR,10,800,32,2013-12-11,30,47.06,80.00
205,AW00011204,Destiny Rivera,72,NEW,4,77,4,2013-11-10,0,38.50,19.25
206,AW00011205,Abby Fernandez,71,NEW,3,37,2,2013-10-08,2,18.50,12.33
207,AW00011206,Blake Flores,71,NEW,1,77,4,2013-05-30,11,38.50,77.00
208,AW00011207,Danielle Cox,71,REGULAR,9,77,4,2013-10-18,23,38.50,8.56
209,AW00011208,Maria Reed,72,REGULAR,7,134,7,2013-09-17,23,67.00,19.14
210,AW00011209,Allison Evans,72,REGULAR,10,37,2,2014-01-22,19,18.50,3.70
211,AW00011210,Edward Wood,72,NEW,5,70,5,2013-09-06,4,35.00,14.00
212,AW00011211,Samantha Russell,65,REGULAR,12,792,33,2014-01-07,3,46.59,66.00
213,AW00011212,Chloe Campbell,70,REGULAR,12,824,33,2014-01-17,24,48.47,68.67
214,AW00011213,Stephanie Murphy,71,REGULAR,6,77,4,2013-09-09,1,38.50,12.83
215,AW00011214,Charles Miller,70,NEW,4,162,4,2013-11-19,21,81.00,40.50
216,AW00011215,Ana Perry,64,REGULAR,11,1154,32,2013-12-15,26,67.88,104.91
217,AW00011216,Jasmine Torres,70,VIP,18,5948,5,2013-02-05,5,2974.00,330.44
218,AW00011217,Natalie Adams,70,VIP,19,5953,3,2013-02-14,24,2976.50,313.32
219,AW00011218,Olivia Brown,64,REGULAR,11,39,3,2014-01-04,6,19.50,3.55
220,AW00011219,Charles Cook,69,NEW,3,39,3,2014-01-24,17,19.50,13.00
221,AW00011220,Erica Huang,64,REGULAR,9,50,4,2013-12-13,28,25.00,5.56
222,AW00011221,Nathan Perry,70,REGULAR,7,46,4,2013-10-17,24,23.00,6.57
223,AW00011222,Alexandra Rivera,69,NEW,1,208,6,2013-11-28,12,104.00,208.00
224,AW00011223,Hailey Patterson,68,REGULAR,12,1293,65,2014-01-06,4,47.89,107.75
225,AW00011224,Tiffany Li,68,VIP,28,6685,5,2013-12-03,7,2228.33,238.75
226,AW00011225,Madison Lee,63,NEW,3,73,5,2013-09-06,4,36.50,24.33
227,AW00011226,Sydney Ross,63,NEW,2,37,2,2013-03-31,10,18.50,18.50
228,AW00011227,Marshall Chavez,63,VIP,19,5910,5,2013-02-10,0,2955.00,311.05
229,AW00011228,Ashley Jones,69,NEW,3,77,4,2014-01-17,24,38.50,25.67
230,AW00011229,Adrian Stewart,68,REGULAR,6,81,5,2014-01-25,16,40.50,13.50
231,AW00011230,Amber Turner,69,NEW,5,54,5,2013-12-09,1,27.00,10.80
232,AW00011231,Dennis Zhang,62,REGULAR,10,64,4,2013-11-12,28,32.00,6.40
233,AW00011232,Hailey Bryant,67,NEW,2,39,3,2013-11-13,27,19.50,19.50
234,AW00011233,Todd Li,62,NEW,5,179,7,2013-06-08,2,89.50,35.80
235,AW00011234,Anna Griffin,67,REGULAR,8,76,4,2013-09-19,21,38.00,9.50
236,AW00011235,Angel Stewart,68,REGULAR,7,138,6,2014-01-05,5,69.00,19.71
237,AW00011236,Jeremy Butler,68,NEW,4,114,5,2014-01-06,4,57.00,28.50
238,AW00011237,Clarence Anand,61,VIP,27,10566,6,2013-11-25,15,2641.50,391.33
239,AW00011238,Mayra Prasad,61,VIP,28,7543,9,2013-04-30,10,1885.75,269.39
240,AW00011239,Latoya Goel,56,VIP,29,7511,11,2013-05-28,13,1877.75,259.00
241,AW00011240,Anne Hernandez,61,VIP,27,7586,13,2013-05-13,28,1896.50,280.96
242,AW00011241,Lisa Cai,51,VIP,14,11468,25,2013-10-29,12,1638.29,819.14
243,AW00011242,Larry Munoz,62,VIP,15,11067,12,2013-12-04,6,1581.00,737.80
244,AW00011243,Robin Alvarez,62,VIP,28,7164,12,2013-06-09,1,1791.00,255.86
245,AW00011244,Alexis Coleman,57,VIP,30,7175,12,2013-07-19,22,1793.75,239.17
246,AW00011245,Ricky Vazquez,63,VIP,27,10580,9,2013-12-11,30,2645.00,391.85
247,AW00011246,Latasha Rubio,63,VIP,27,10575,7,2013-12-20,21,2643.75,391.67
248,AW00011247,Claudia Zhou,64,VIP,30,7131,12,2013-08-17,24,1782.75,237.70
249,AW00011248,Tristan Alexander,59,NEW,1,38,3,2013-07-14,27,38.00,38.00
250,AW00011249,Cindy Patel,59,VIP,24,9890,11,2013-09-15,25,2472.50,412.08
251,AW00011250,Shannon Liu,59,VIP,29,7115,11,2013-08-06,4,1778.75,245.34
252,AW00011251,Xavier Long,88,NEW,1,2319,4,2013-10-18,23,2319.00,2319.00
253,AW00011252,Nicholas Thompson,88,VIP,29,6685,7,2013-12-18,23,2228.33,230.52
254,AW00011253,Jos├® Hernandez,76,REGULAR,10,695,30,2013-12-03,7,43.44,69.50
255,AW00011254,Johnathan Vance,87,NEW,1,204,9,2013-12-14,27,102.00,204.00
256,AW00011255,Colin Lin,87,NEW,2,114,5,2013-03-31,10,57.00,57.00
257,AW00011256,Katelyn Hernandez,86,REGULAR,7,81,5,2013-10-16,25,40.50,11.57
258,AW00011257,Jacqueline Powell,,VIP,28,6676,6,2013-12-14,27,2225.33,238.43
259,AW00011258,Xavier Hill,87,NEW,2,49,4,2013-07-15,26,24.50,24.50
260,AW00011259,Victoria Stewart,55,VIP,28,6770,5,2013-12-20,21,2256.67,241.79
261,AW00011260,Katelyn Kelly,49,NEW,5,81,5,2013-06-23,17,40.50,16.20
262,AW00011261,Stephanie Collins,55,VIP,27,6650,4,2013-12-23,18,2216.67,246.30
263,AW00011262,Jennifer Simmons,50,REGULAR,11,1124,63,2014-01-22,19,41.63,102.18
264,AW00011263,Trinity Richardson,55,VIP,28,6753,9,2013-12-10,0,2251.00,241.18
265,AW00011264,Eduardo Martin,56,REGULAR,11,3182,8,2013-11-30,10,1591.00,289.27
266,AW00011265,Elizabeth Jones,56,NEW,1,2352,3,2013-01-03,7,2352.00,2352.00
267,AW00011266,Taylor Howard,56,VIP,17,5922,5,2013-01-20,21,2961.00,348.35
268,AW00011267,David Diaz,50,VIP,16,5943,5,2013-01-07,3,2971.50,371.44
269,AW00011268,Katelyn Carter,56,REGULAR,6,98,5,2013-11-16,24,49.00,16.33
270,AW00011269,Ryan Foster,50,NEW,1,42,3,2013-09-10,0,21.00,42.00
271,AW00011270,Robert Lee,50,VIP,16,5984,5,2013-01-07,3,2992.00,374.00
272,AW00011271,Danielle Reed,56,VIP,16,5973,5,2013-01-22,19,2986.50,373.31
273,AW00011272,Lauren Martinez,63,VIP,16,5975,4,2013-01-13,28,2987.50,373.44
274,AW00011273,Nathan Lal,63,NEW,1,273,8,2013-05-23,18,136.50,273.00
275,AW00011274,Kyle Foster,86,VIP,18,5888,4,2013-02-24,14,2944.00,327.11
276,AW00011275,Jenny Rai,86,VIP,17,5955,4,2013-01-12,29,2977.50,350.29
277,AW00011276,Nancy Chapman,51,REGULAR,12,987,57,2014-01-22,19,36.56,82.25
278,AW00011277,Charles Jackson,57,REGULAR,12,1434,65,2014-01-16,25,53.11,119.50
279,AW00011278,Jonathan Phillips,56,VIP,16,5908,3,2013-01-03,7,2954.00,369.25
280,AW00011279,Amanda Cook,51,NEW,4,44,4,2013-06-22,18,22.00,11.00
281,AW00011280,Robert Collins,56,NEW,2,77,4,2013-08-08,2,38.50,38.50
282,AW00011281,Megan Barnes,51,VIP,16,5921,5,2013-01-11,30,2960.50,370.06
283,AW00011282,Christian Thomas,58,VIP,17,5999,6,2013-01-02,8,2999.50,352.88
284,AW00011283,Arturo Lal,57,NEW,3,44,4,2013-08-28,13,22.00,14.67
285,AW00011284,Theresa Serrano,58,NEW,3,55,5,2013-05-02,8,27.50,18.33
286,AW00011285,Jeremy Anderson,52,NEW,3,128,5,2013-10-26,15,64.00,42.67
287,AW00011286,Hunter Griffin,58,VIP,16,5954,5,2013-01-20,21,2977.00,372.13
288,AW00011287,Henry Garcia,59,REGULAR,12,1165,62,2014-01-28,13,43.15,97.08
289,AW00011288,Cindy Sanchez,47,REGULAR,6,77,4,2013-08-21,20,38.50,12.83
290,AW00011289,Maria Carter,53,VIP,17,5905,5,2013-01-16,25,2952.50,347.35
291,AW00011290,Katelyn Sanchez,53,VIP,17,5933,3,2013-01-27,14,2966.50,349.00
292,AW00011291,Jenna Wright,53,VIP,17,5873,2,2013-01-19,22,2936.50,345.47
293,AW00011292,Seth Phillips,58,VIP,16,5910,5,2012-12-31,10,2955.00,369.38
294,AW00011293,Luke Long,65,NEW,1,85,5,2013-03-15,26,42.50,85.00
